ticker,company_name,index_memberships,sector,industry,exchange
ETN,Eaton Corporation,S&P 500,Industrials,Electrical Components & Equipment,
ETR,Entergy,S&P 500,Utilities,Electric Utilities,
EVRG,Evergy,S&P 500,Utilities,Electric Utilities,
EW,Edwards Lifesciences,S&P 500,Health Care,Health Care Equipment,
EXC,Exelon,S&P 500,Utilities,Electric Utilities,
EXE,Expand Energy,S&P 500,Energy,Oil & Gas Exploration & Production,
EXPD,Expeditors International,S&P 500,Industrials,Air Freight & Logistics,
EXPE,Expedia Group,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
EXR,Extra Space Storage,S&P 500,Real Estate,Self-Storage REITs,
F,Ford Motor Company,S&P 500,Consumer Discretionary,Automobile Manufacturers,
FANG,Diamondback Energy,S&P 500,Energy,Oil & Gas Exploration & Production,
FAST,Fastenal,S&P 500,Industrials,Trading Companies & Distributors,
FCX,Freeport-McMoRan,S&P 500,Materials,Copper,
FDS,FactSet,S&P 500,Financials,Financial Exchanges & Data,
FDX,FedEx,S&P 500,Industrials,Air Freight & Logistics,
FE,FirstEnergy,S&P 500,Utilities,Electric Utilities,
FFIV,"F5, Inc.",S&P 500,Information Technology,Communications Equipment,
FICO,Fair Isaac,S&P 500,Information Technology,Application Software,
FIS,Fidelity National Information Services,S&P 500,Financials,Transaction & Payment Processing Services,
FISV,Fiserv,S&P 500,Financials,Transaction & Payment Processing Services,
FITB,Fifth Third Bancorp,S&P 500,Financials,Regional Banks,
FIX,Comfort Systems USA,S&P 500,Industrials,Construction & Engineering,
FOX,Fox Corporation (Class B),S&P 500,Communication Services,Broadcasting,
FOXA,Fox Corporation (Class A),S&P 500,Communication Services,Broadcasting,
FRT,Federal Realty Investment Trust,S&P 500,Real Estate,Retail REITs,
FSLR,First Solar,S&P 500,Information Technology,Semiconductors,
FTNT,Fortinet,S&P 500,Information Technology,Systems Software,
FTV,Fortive,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
GD,General Dynamics,S&P 500,Industrials,Aerospace & Defense,
GDDY,GoDaddy,S&P 500,Information Technology,Internet Services & Infrastructure,
GE,GE Aerospace,S&P 500,Industrials,Aerospace & Defense,
GEHC,GE HealthCare,S&P 500,Health Care,Health Care Equipment,
GEN,Gen Digital,S&P 500,Information Technology,Systems Software,
GEV,GE Vernova,S&P 500,Industrials,Heavy Electrical Equipment,
GILD,Gilead Sciences,S&P 500,Health Care,Biotechnology,
GIS,General Mills,S&P 500,Consumer Staples,Packaged Foods & Meats,
GL,Globe Life,S&P 500,Financials,Life & Health Insurance,
GLW,Corning Inc.,S&P 500,Information Technology,Electronic Components,
GM,General Motors,S&P 500,Consumer Discretionary,Automobile Manufacturers,
GNRC,Generac,S&P 500,Industrials,Electrical Components & Equipment,
GOOG,Alphabet Inc. (Class C),S&P 500,Communication Services,Interactive Media & Services,
GOOGL,Alphabet Inc. (Class A),S&P 500,Communication Services,Interactive Media & Services,
GPC,Genuine Parts Company,S&P 500,Consumer Discretionary,Distributors,
GPN,Global Payments,S&P 500,Financials,Transaction & Payment Processing Services,
GRMN,Garmin,S&P 500,Consumer Discretionary,Consumer Electronics,
GS,Goldman Sachs,S&P 500,Financials,Investment Banking & Brokerage,
GWW,W. W. Grainger,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
HAL,Halliburton,S&P 500,Energy,Oil & Gas Equipment & Services,
HAS,Hasbro,S&P 500,Consumer Discretionary,Leisure Products,
HBAN,Huntington Bancshares,S&P 500,Financials,Regional Banks,
HCA,HCA Healthcare,S&P 500,Health Care,Health Care Facilities,
HD,Home Depot (The),S&P 500,Consumer Discretionary,Home Improvement Retail,
HIG,Hartford (The),S&P 500,Financials,Property & Casualty Insurance,
HII,Huntington Ingalls Industries,S&P 500,Industrials,Aerospace & Defense,
HLT,Hilton Worldwide,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
HON,Honeywell,S&P 500,Industrials,Industrial Conglomerates,
HOOD,Robinhood Markets,S&P 500,Financials,Investment Banking & Brokerage,
HPE,Hewlett Packard Enterprise,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",
HPQ,HP Inc.,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",
HRL,Hormel Foods,S&P 500,Consumer Staples,Packaged Foods & Meats,
HSIC,Henry Schein,S&P 500,Health Care,Health Care Distributors,
HST,Host Hotels & Resorts,S&P 500,Real Estate,Hotel & Resort REITs,
HSY,Hershey Company (The),S&P 500,Consumer Staples,Packaged Foods & Meats,
HUBB,Hubbell Incorporated,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
HUM,Humana,S&P 500,Health Care,Managed Health Care,
HWM,Howmet Aerospace,S&P 500,Industrials,Aerospace & Defense,
IBKR,Interactive Brokers,S&P 500,Financials,Investment Banking & Brokerage,
IBM,IBM,S&P 500,Information Technology,IT Consulting & Other Services,
ICE,Intercontinental Exchange,S&P 500,Financials,Financial Exchanges & Data,
IDXX,Idexx Laboratories,S&P 500,Health Care,Health Care Equipment,
IEX,IDEX Corporation,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
IFF,International Flavors & Fragrances,S&P 500,Materials,Specialty Chemicals,
INCY,Incyte,S&P 500,Health Care,Biotechnology,
INTC,Intel,S&P 500,Information Technology,Semiconductors,
INTU,Intuit,S&P 500,Information Technology,Application Software,
INVH,Invitation Homes,S&P 500,Real Estate,Single-Family Residential REITs,
IP,International Paper,S&P 500,Materials,Paper & Plastic Packaging Products & Materials,
IQV,IQVIA,S&P 500,Health Care,Life Sciences Tools & Services,
IR,Ingersoll Rand,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
IRM,Iron Mountain,S&P 500,Real Estate,Other Specialized REITs,
ISRG,Intuitive Surgical,S&P 500,Health Care,Health Care Equipment,
IT,Gartner,S&P 500,Information Technology,IT Consulting & Other Services,
ITW,Illinois Tool Works,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
IVZ,Invesco,S&P 500,Financials,Asset Management & Custody Banks,
J,Jacobs Solutions,S&P 500,Industrials,Construction & Engineering,
JBHT,J.B. Hunt,S&P 500,Industrials,Cargo Ground Transportation,
JBL,Jabil,S&P 500,Information Technology,Electronic Manufacturing Services,
JCI,Johnson Controls,S&P 500,Industrials,Building Products,
JKHY,Jack Henry & Associates,S&P 500,Financials,Transaction & Payment Processing Services,
JNJ,Johnson & Johnson,S&P 500,Health Care,Pharmaceuticals,
JPM,JPMorgan Chase,S&P 500,Financials,Diversified Banks,
KDP,Keurig Dr Pepper,S&P 500,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,
KEY,KeyCorp,S&P 500,Financials,Regional Banks,
KEYS,Keysight Technologies,S&P 500,Information Technology,Electronic Equipment & Instruments,
KHC,Kraft Heinz,S&P 500,Consumer Staples,Packaged Foods & Meats,
KIM,Kimco Realty,S&P 500,Real Estate,Retail REITs,
KKR,KKR & Co.,S&P 500,Financials,Asset Management & Custody Banks,
KLAC,KLA Corporation,S&P 500,Information Technology,Semiconductor Materials & Equipment,
KMB,Kimberly-Clark,S&P 500,Consumer Staples,Household Products,
KMI,Kinder Morgan,S&P 500,Energy,Oil & Gas Storage & Transportation,
KO,Coca-Cola Company (The),S&P 500,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,
KR,Kroger,S&P 500,Consumer Staples,Food Retail,
KVUE,Kenvue,S&P 500,Consumer Staples,Personal Care Products,
L,Loews Corporation,S&P 500,Financials,Multi-line Insurance,
LDOS,Leidos,S&P 500,Industrials,Diversified Support Services,
LEN,Lennar,S&P 500,Consumer Discretionary,Homebuilding,
LH,Labcorp,S&P 500,Health Care,Health Care Services,
LHX,L3Harris,S&P 500,Industrials,Aerospace & Defense,
LII,Lennox International,S&P 500,Industrials,Building Products,
LIN,Linde plc,S&P 500,Materials,Industrial Gases,
LITE,Lumentum,S&P 500,Information Technology,Communications Equipment,
LLY,Lilly (Eli),S&P 500,Health Care,Pharmaceuticals,
